true_class,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,9448,1628,1043,883,1062,988,1449,98,453,408,301,347,148,49
1,1750,9321,1576,1389,1678,1575,1108,65,246,404,294,386,165,43
2,1311,1568,8851,2029,1757,1727,1519,41,152,306,235,286,180,38
3,871,1325,1658,11644,1636,1241,934,27,99,154,156,138,79,38
4,1595,1754,1908,2054,8691,1606,1288,40,183,244,206,254,119,58
5,1225,1520,1639,1355,1515,9274,1850,31,152,353,322,423,252,89
6,1415,940,925,877,1099,1765,9643,50,156,283,282,435,348,90
7,393,152,102,47,62,104,217,607,51,76,40,59,23,10
8,530,293,106,71,113,139,249,38,1788,188,129,111,32,20
9,558,358,182,66,163,231,236,52,169,3129,219,210,78,16
10,442,285,169,65,148,283,476,25,134,309,3475,330,179,31
11,238,272,215,60,207,389,538,12,37,207,236,3008,175,63
12,186,155,138,58,118,310,540,13,27,102,147,187,1787,38
13,221,102,59,41,64,145,412,9,24,44,44,76,85,604
