true_class,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,9208,1611,1076,932,1251,1113,1285,208,396,394,310,266,155,100
1,1646,9275,1665,1372,1816,1609,1120,124,263,358,264,278,129,81
2,1297,1570,8970,1993,1905,1722,1343,67,155,257,231,228,196,66
3,959,1341,1666,11450,1720,1254,904,36,105,124,162,140,86,53
4,1453,1674,1905,2027,8925,1684,1244,63,148,216,208,235,143,75
5,1191,1552,1728,1331,1608,9383,1631,84,142,267,350,358,267,108
6,1346,1051,1174,914,1174,1658,9172,104,171,239,316,377,366,246
7,314,137,120,50,71,100,154,704,72,84,50,36,28,23
8,457,285,150,82,147,151,202,49,1870,152,130,74,36,22
9,390,372,219,91,224,267,225,61,183,3148,219,175,66,27
10,306,299,172,104,218,314,384,33,140,244,3665,250,170,52
11,283,256,227,95,205,363,445,34,60,199,203,3068,139,80
12,199,158,160,83,154,300,422,22,34,86,133,177,1814,64
13,156,118,79,48,84,154,290,23,31,37,59,77,60,714
