true_class,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,6957,1576,927,568,923,1102,1220,60,257,365,245,212,108,50
1,1418,10264,1519,1051,1530,1778,1092,60,177,345,269,313,140,44
2,1079,1547,10250,1439,1672,1779,1247,42,104,227,152,256,160,46
3,652,1228,1381,12846,1472,1187,673,31,63,111,119,122,81,34
4,1299,1959,1791,1537,9858,1575,1050,35,130,239,170,211,102,44
5,1100,1814,1531,931,1457,10289,1595,21,115,270,249,347,213,68
6,1005,1071,1012,593,988,1688,6938,37,78,187,230,313,250,85
7,277,154,104,26,67,128,187,471,40,49,37,33,16,9
8,457,298,124,41,124,121,178,19,1294,127,114,89,22,7
9,352,357,200,51,160,321,195,23,83,2270,178,147,39,12
10,368,302,177,47,170,307,346,9,103,254,2440,221,139,25
11,171,356,177,56,186,372,410,7,24,124,149,2227,81,39
12,171,157,135,55,138,382,458,10,10,83,78,146,1131,30
13,157,132,74,27,89,162,344,7,17,26,39,43,49,411
