true_class,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,6921,1456,954,622,1094,1080,1123,138,273,252,245,189,125,98
1,1351,10273,1454,1093,1598,1666,1152,110,231,296,306,253,143,74
2,1005,1484,10635,1490,1664,1620,1085,78,120,183,185,236,145,70
3,675,1184,1346,13076,1427,1076,658,34,76,101,104,104,82,57
4,1206,1763,1766,1544,10269,1457,999,74,134,195,179,209,126,79
5,1046,1727,1526,1007,1562,10258,1455,73,154,264,289,337,206,96
6,1048,1081,1036,609,1044,1493,6860,87,109,180,243,274,257,154
7,240,134,103,50,75,118,142,520,46,54,42,26,22,26
8,358,234,123,67,171,130,158,41,1404,104,117,66,24,18
9,298,351,226,98,195,253,202,47,89,2257,163,135,57,17
10,290,273,177,98,209,296,256,31,111,192,2682,150,118,25
11,176,306,217,84,240,353,301,33,36,111,149,2228,97,48
12,157,150,143,85,152,310,371,16,27,72,90,134,1246,31
13,160,124,80,33,73,143,270,19,24,21,41,55,60,474
