dataset,prune_mode,fold,accuracy,macro_f1,pop_recall,top_3_accuracy,n_nodes,n_leaves,train_time_s,prune_time_s,n_train,n_eval
baseline,pruned,0,0.482869,0.474625,0.444278,0.728115,38095,24477,1041.422000,15.062000,424389,132626
baseline,pruned,1,0.484169,0.475554,0.446174,0.729225,38488,24711,1046.656000,14.610000,424392,132623
baseline,pruned,2,0.484923,0.474760,0.442678,0.728388,38114,24487,1036.984000,17.172000,424392,132623
baseline,pruned,3,0.483457,0.474612,0.448263,0.729419,37716,24246,1040.844000,15.313000,424392,132622
baseline,pruned,4,0.483569,0.475627,0.442448,0.727473,38249,24558,1033.453000,16.625000,424396,132618
baseline,unpruned,0,0.471190,0.465231,0.454220,0.663920,131641,80091,1046.484000,0.000000,424389,132626
baseline,unpruned,1,0.471984,0.466823,0.454740,0.664493,131461,80102,1040.109000,0.000000,424392,132623
baseline,unpruned,2,0.470574,0.465232,0.456512,0.663618,130947,79883,1033.828000,0.000000,424392,132623
baseline,unpruned,3,0.470767,0.465517,0.456151,0.665123,130653,79701,1026.891000,0.000000,424392,132622
baseline,unpruned,4,0.470683,0.465534,0.456518,0.665634,130687,79650,1030.672000,0.000000,424396,132618
optimised,pruned,0,0.504843,0.467727,0.395568,0.737803,35827,22989,956.125000,19.219000,388857,121523
optimised,pruned,1,0.504275,0.467052,0.398197,0.735585,35542,22791,954.516000,19.343000,388859,121521
optimised,pruned,2,0.503530,0.467792,0.399418,0.735562,36539,23438,960.844000,18.578000,388861,121518
optimised,pruned,3,0.506513,0.471876,0.398640,0.735732,36100,23201,950.563000,19.500000,388862,121517
optimised,pruned,4,0.503938,0.465888,0.390020,0.734897,35598,22850,954.328000,19.375000,388864,121515
optimised,unpruned,0,0.499642,0.462150,0.410369,0.676851,117564,72097,955.734000,0.000000,388857,121523
optimised,unpruned,1,0.499148,0.464946,0.417230,0.679216,117103,71899,952.734000,0.000000,388859,121521
optimised,unpruned,2,0.496478,0.461370,0.409343,0.676056,117415,72015,948.110000,0.000000,388861,121518
optimised,unpruned,3,0.500070,0.466499,0.416082,0.679781,116774,71769,946.734000,0.000000,388862,121517
optimised,unpruned,4,0.496161,0.459557,0.407000,0.675629,117011,71860,950.797000,0.000000,388864,121515
