feature,n_splits,n_samples_total
move_count,1,596804
cell_42,249,462034
cell_43,461,376223
cell_44,484,373997
cell_54,559,363768
cell_55,616,349871
current_player,736,347675
cell_51,676,337121
cell_52,552,333672
cell_53,648,318725
cell_41,345,292721
cell_45,372,280852
cell_50,923,182718
cell_56,912,179687
cell_23,615,177623
cell_33,793,144580
cell_34,598,125001
cell_32,603,113392
cell_46,505,90618
cell_40,520,84296
cell_24,337,57536
cell_35,420,57264
cell_22,369,54801
cell_31,410,50864
cell_13,211,27405
cell_30,186,24499
cell_36,204,24187
cell_21,185,21001
cell_25,198,18682
cell_12,90,16848
own_pieces_bottom_row,163,15791
opp_pieces_bottom_row,173,15478
cell_14,85,14646
cell_11,52,11864
cell_01,4,9618
cell_15,47,9279
cell_16,30,6520
cell_10,20,6165
cell_00,7,4131
cell_26,54,4000
cell_20,50,3252
cell_05,5,1665
cell_03,22,955
cell_06,6,693
cell_04,3,259
cell_02,6,209
