feature,n_splits,n_samples_total
move_count,1,596804
cell_42,972,485217
cell_44,1489,406320
cell_43,1172,396683
cell_54,1495,396515
cell_55,2138,394555
current_player,1989,383907
cell_51,2305,382243
cell_52,1558,362387
cell_53,1633,347151
cell_41,1771,331600
cell_45,1813,319521
cell_50,4542,280683
cell_56,4427,272465
cell_23,2802,234437
cell_33,3188,214749
cell_34,2373,177086
cell_32,2373,163659
cell_46,2858,154552
cell_40,2906,143951
cell_35,1882,97942
cell_31,1969,94433
cell_24,1618,91277
cell_22,1695,89727
cell_01,1469,58667
cell_30,1305,55869
cell_13,1399,55292
cell_03,1690,54293
cell_36,1285,53882
cell_00,1469,52945
cell_02,1517,49979
cell_04,1410,48318
cell_05,1142,43618
opp_pieces_bottom_row,1024,39306
cell_21,897,37859
own_pieces_bottom_row,973,35829
cell_25,903,35728
cell_06,772,34139
cell_12,482,29352
cell_10,445,28985
cell_11,333,26844
cell_14,528,25544
cell_15,260,14783
cell_26,448,13545
cell_20,417,12216
cell_16,132,9231
