feature,n_splits,n_samples_total
move_count,1,546839
cell_42,237,421980
cell_54,502,323457
cell_44,414,322332
current_player,667,319840
cell_51,669,303180
cell_55,616,297640
cell_52,504,296912
cell_41,354,282860
cell_53,613,278763
cell_45,410,247684
cell_33,563,246816
cell_43,571,232914
cell_23,572,177649
cell_56,795,153683
cell_50,941,147321
cell_34,597,126477
cell_32,579,117706
cell_40,442,71612
cell_46,473,65884
cell_24,367,60340
cell_22,370,58163
cell_35,387,54877
cell_31,352,53871
own_pieces_bottom_row,168,28356
cell_13,232,25689
cell_21,187,21123
cell_12,112,20499
cell_36,187,19980
cell_30,151,19599
cell_14,103,18778
cell_25,164,18584
opp_pieces_bottom_row,164,14009
cell_11,51,13203
cell_06,2,9669
cell_15,55,8603
cell_20,72,5616
cell_16,18,5599
cell_01,8,5392
cell_10,27,4534
cell_26,47,3832
cell_05,10,1784
cell_00,7,1599
cell_03,27,915
cell_04,10,757
cell_02,6,251
