feature,n_splits,n_samples_total
move_count,1,546839
cell_42,706,438081
cell_54,1382,351022
cell_44,1274,349943
current_player,1692,349386
cell_51,2240,346336
cell_55,2079,339722
cell_52,1509,323909
cell_41,1489,314752
cell_53,1520,303235
cell_33,2140,287109
cell_45,1666,284631
cell_43,1785,272908
cell_56,3966,241449
cell_50,4161,234417
cell_23,2436,226215
cell_34,2053,166543
cell_32,1981,158422
cell_40,2630,125820
cell_46,2615,120681
cell_31,1621,89884
cell_35,1598,89516
cell_24,1444,88649
cell_22,1475,85289
cell_13,1503,54453
cell_30,1160,52525
cell_36,1154,47470
own_pieces_bottom_row,892,45085
cell_01,1130,44113
cell_03,1290,42231
cell_00,1127,40054
cell_02,1176,39563
cell_04,1076,37973
opp_pieces_bottom_row,952,37344
cell_21,811,36075
cell_06,616,35549
cell_05,898,35202
cell_25,814,33817
cell_12,526,30657
cell_14,506,27859
cell_11,311,23826
cell_10,409,22385
cell_26,400,14384
cell_15,256,13575
cell_20,413,13537
cell_16,109,8165
