dataset,cap,max_depth,min_samples,train_size,val_size,val_accuracy,val_macro_f1,pop_recall,n_nodes,n_leaves,train_time_s
baseline,50000,5,10,356994,39663,0.272017,0.234914,0.257691,410,264,15.813
baseline,50000,5,20,356994,39663,0.272042,0.234935,0.257747,404,260,12.000
baseline,50000,5,50,356994,39663,0.272042,0.234959,0.257747,380,244,15.188
baseline,50000,5,100,356994,39663,0.272042,0.234959,0.257747,377,242,11.656
baseline,50000,8,10,356994,39663,0.394272,0.395771,0.449558,7464,4842,116.734
baseline,50000,8,20,356994,39663,0.394347,0.395892,0.449540,6707,4348,107.312
baseline,50000,8,50,356994,39663,0.394297,0.395757,0.448650,5550,3590,93.360
baseline,50000,8,100,356994,39663,0.392406,0.394226,0.447139,4511,2911,79.938
baseline,50000,10,10,356994,39663,0.453924,0.458529,0.518746,32233,20874,358.235
baseline,50000,10,20,356994,39663,0.453773,0.458563,0.518623,24971,16213,302.578
baseline,50000,10,50,356994,39663,0.447949,0.453520,0.510266,15908,10329,187.390
baseline,50000,10,100,356994,39663,0.433704,0.440427,0.497853,9936,6436,142.047
baseline,50000,15,10,356994,39663,0.474119,0.483451,0.531229,104158,66217,797.937
baseline,50000,15,20,356994,39663,0.477347,0.487081,0.543487,55834,35777,514.437
baseline,50000,15,50,356994,39663,0.464287,0.472215,0.526597,23185,14934,287.047
baseline,50000,15,100,356994,39663,0.441242,0.448508,0.506600,11740,7551,167.657
baseline,50000,20,10,356994,39663,0.474598,0.484082,0.531862,108740,67073,831.985
baseline,50000,20,20,356994,39663,0.477548,0.487310,0.543644,57379,35920,523.078
baseline,50000,20,50,356994,39663,0.464312,0.472245,0.526691,23504,14937,292.500
baseline,50000,20,100,356994,39663,0.441242,0.448508,0.506600,11870,7551,145.657
