dataset,cap,max_depth,min_samples,train_size,val_size,val_accuracy,val_macro_f1,pop_recall,n_nodes,n_leaves,train_time_s
optimised,100000,5,10,546839,60755,0.286446,0.199255,0.093549,441,286,15.375
optimised,100000,5,20,546839,60755,0.286478,0.199271,0.093549,435,282,19.563
optimised,100000,5,50,546839,60755,0.286495,0.199266,0.093469,405,262,14.813
optimised,100000,5,100,546839,60755,0.286544,0.199631,0.093797,378,244,18.813
optimised,100000,8,10,546839,60755,0.421151,0.370178,0.279840,7934,5143,127.797
optimised,100000,8,20,546839,60755,0.421364,0.370118,0.279127,7312,4739,97.672
optimised,100000,8,50,546839,60755,0.421480,0.370451,0.278646,6352,4113,105.969
optimised,100000,8,100,546839,60755,0.419636,0.368436,0.276545,5426,3508,94.640
optimised,100000,10,10,546839,60755,0.484931,0.447474,0.375041,38887,25149,418.796
optimised,100000,10,20,546839,60755,0.483779,0.446482,0.371879,31316,20310,359.141
optimised,100000,10,50,546839,60755,0.480718,0.443596,0.364600,21260,13801,248.688
optimised,100000,10,100,546839,60755,0.470496,0.429826,0.347256,14001,9083,190.000
optimised,100000,15,10,546839,60755,0.523298,0.489415,0.434141,152481,96362,1191.782
optimised,100000,15,20,546839,60755,0.518937,0.485526,0.422561,83367,53289,660.688
optimised,100000,15,50,546839,60755,0.503580,0.467223,0.392850,35530,22807,358.329
optimised,100000,15,100,546839,60755,0.482775,0.442514,0.363216,18021,11601,212.516
optimised,100000,20,10,546839,60755,0.523759,0.490121,0.435820,161732,98740,1280.047
optimised,100000,20,20,546839,60755,0.519085,0.485624,0.422878,86316,53784,673.094
optimised,100000,20,50,546839,60755,0.503613,0.467234,0.392850,36346,22854,356.343
optimised,100000,20,100,546839,60755,0.482792,0.442522,0.363216,18270,11607,214.625
